video_id,category_gpt,description_string
6928512660631833862, other,i'm dedicated to improving people's everyday lives.
6930268611298790662, other,troy carter will fight for everything we deserve.
6936706302219521286, other,early voting has started! get out there and vote!
6946652695558180101, other,women for troy!
6952982461215214854, other,"it’s me,! 👀"
6982573123451325701," economy, commerce, and transportation",says a lot about our priorities.
6985228860539292933," defense, law, and crime, economy, commerce, and transportation","two things: 1) we should legalize, 2) i’m running for us senate in nc. follow!"
6986831239407815942, other,trips but rallies.
6995162974625205510, other,looks… great?
7005645126311677190," health, education, and labor",we’re still in this together and we’ll only get out of it together. vaccines are free and fda-approved. ❤️💉🇺🇸
7010876782677134597, other,headed to your campus soon! link in bio to sign up.######
7012653317159488774, other,y’all we’ve got a unicorn on this team.
7022275755543399685, other,beautiful night at the state fair.
7030132176104606981," economy, commerce, and transportation",tell me you’re bought and sold by special interests without telling me you’re bought and sold by special interests.
7031907372838702342, other,honesty challenge (part one).
7039401161870380334, other,reply to- honesty challenge (part 2)
7042440750604455215, other,a hard decision to step aside.
7045760424104709422, other,rolling.
7062391396581248302," economy, commerce, and transportation",why do we tolerate legalized corruption? candidates shouldn’t be able to pay for high-profile endorsements. period.
7077747016566295854, other,we love our san mateo supporters! here’s some highlights from our downtown san mateo merchant walk
7077774732388535598, other,"time to bring the peninsula’s success with these issues to washington, d.c. folks!!"
7080697241278696747, other,and that’s when they found🦸🦸
7092060476145782059," health, education, and labor",the reality in 🇳🇴:- health care is a right- college is tuition-free- guaranteed 28 days of paid vacation- one year of fully paid parental leave
7092427840624364842, immigration and international affairs,we are children of immigrants or immigrants ourselves. we are making sure latinos are heard by president biden.
7092859583227546923, culture,reply tothewill include all types of latino stories
7093173860673047854, other,reply tocomment below ⬇️
7094777159902072110, other,"if you spend time with the courageous workers, it is absolutely clear why the movement to unionize starbucks stores is spreading like wildfire."
7098720365655952682, other,"we desperately need strong, young, progressive voices in the congress, and that's exactly what nida allam will be."
7103922845708766506, culture,i’ve dedicated most of my professional life to public service because i believe that government should exist to enrich communities & support the values of its constituents. @repspeier has made us proud in dc. you can trust that i will carry on her legacy of effectiveness.
7108796961641319723," health, education, and labor",we desperately need amy vilela in the congress fighting for medicare for all.
7110197236356762926, other,"last night, over 1,100 working class people joined us to say that the time is now to join together in solidarity, to stand up, and to fight back. thank you chicago!"
7112565604036496682, other,"just some of what maddy, the delegate to my office for, got to experience during her visit to the capitol!"
7115030059496262954," health, education, and labor",state sen. jeff jackson (d - nc): here’s the future of abortion access in nc.
7127823012916743466, other,"last night i stopped byevents in valley village, mission hills, north hollywood and panorama city. i had a great time meeting so many wonderful valley neighbors!"
7133344822345108779, other,am i doing this right?
7135180899297103147, other,in the house of commons we know how to grocery shop😂🥦
7135180899297103147," economy, commerce, and transportation",in the house of commons we know how to grocery shop😂🥦
7137462702720617774," health, education, and labor",eat your veggies 🥦🥦
7137462702720617774," health, education, and labor",eat your veggies 🥦🥦
7137473331355225390," economy, commerce, and transportation","rail companies are bringing in billions in profits. there is no reason — none — that workers should see stagnating wages, higher health care costs, and face unsafe conditions on the job."
7138171911766314286, culture,"shorts then, shorts now🩳"
7139606292083068206," economy, commerce, and transportation","this labor day, i want you to remember that you are not just a cog in the billionaires' machine. you are a member of the working class. you have dignity. now is the time to organize and fight back."
7140743399170395438, housing and social welfare,"the cost of childcare in this country, on average, is upwards of $10,000 a year. in vermont, it's over $15,000. what working class parent can afford that?"
7141118267342490922, energy and environment,the devastating effects of the climate crisis are here. the short-term profits of the fossil fuel industry are not more important than our planet. the senate must reject the dirty side deal to approve a pipeline through west virginia.
7141457365005634859, civil rights,i will protect reproductive freedom. oz won’t.
7141868603598572843," economy, commerce, and transportation",withhow to pump gas: dr. oz edition
7142901444017048878, other,too bad there’s no miracle cure for being a total fraud❗️
7143761647419526446, other,please take a moment to hear from a few strong progressive candidates for congress who give me enormous hope for the future of this country.
7145101071881440555," health, education, and labor","we have a health care system in this country which puts profits ahead of care, profits ahead of quality, and profits ahead of the nurses who care for us. we need a radical transformation of our health care system."
7145899094807022891, other,"north carolina voters deserve a representative that will fight to fix their problems, not take away their rights.bill, a johnston county veteran, puts it perfectly in our latest ad: bo? hell no!"
7146396918313127211, other,i'm working in congress to make sure that animals used in testing facilities find loving families and forever homes. my care act would require federally funded testing facilities do just that.
7147397756271938862, other,in polling places everywhere on november 8
