video_id,category_gpt,description_string
6997796492497014021," health, education, and labor","it's time to pass universal, guaranteed."
7063911684511010094," health, education, and labor, defense, law, and crime",many survivors of sexual assault and harassment at work couldn't sue their employers because of hidden forced arbitration agreements. congress passed my bill to ban them once and for all.
7064284825271930159," defense, law, and crime","members of congress should be looking out for your best interests, not their own. katie porter and i reintroduced stock act 2.0 this week to hold public officials accountable."
7081716819739888938," economy, commerce, and transportation",huge congrats toand all of the workers at amazon's staten island fulfillment center for becoming the first amazon facility in the country to vote to unionize! when
7090635617838632235," economy, commerce, and transportation","organizers in buffalo, ny ignited a movement. now, thanks to their courage, hundreds of starbucks stores across the country are following in their path and filing for union elections. when workers fight, all workers win."
7092246979878636843, other,"from the small town of bothell, wa to the u.s. senate - here's howgot her start."
7096851190390033710," health, education, and labor",medicare for all is fiscally responsible policy.
7096898701460999470, other,breaking down the latest on the competes act - schoolhouse rock style:
7098831386139807022," defense, law, and crime",a security guard who was a former police officer tried to stop the gunman. the buffalo police arrived on the scene in one minute. but one gunman was still able to murder ten people in that short amount of time.it's long past time to ban military-style assault rifles.
7099509262056983850," defense, law, and crime",the house just passed the bill. families need the senate to do the same.
7100976357286399278, other,$50 billion.
7104679730120494378, other,rules for thee but not for me? 🤔
7108378292851559726," health, education, and labor",our failure to guarantee universalis hurting families and holding our entire country back. i talked with dr. mona amin about how not havingimpacts the families that she sees. watch the full interview at the link in my bio.
7112911532312268075, civil rights,"the supreme court just overturned. they no longer represent logic, equal justice under law, or the will of the american people."
7115190429162720555, energy and environment,no tax breaks for big oil? deal.
7115489248987385130," defense, law, and crime",no one is above the law.
7119969487373503790, civil rights,women denied abortion are 4x more likely to live in poverty.
7121859075939306794, other,we won’t go back!
7122186455392193838," economy, commerce, and transportation","to help south floridians fight against inflation, house democrars are delivering relief! i voted for theto:⛽️ reduce gas prices🛒 lower grocery costs🥬 strengthen food supply chains🥩 increase competition in the meat industry👨‍🌾 help farmers"
7122188800293424427, civil rights,i proudly joined mysisters for the 70thto share this message: vote!these are perilous times that people have not seen in generations—and the ballot is the most important tool in our arsenal. we cannot go back.
7122191005692087594, civil rights,i just got off the floor where i voted with the people and for the people to defendacross our country! we cannot let radical republicans take away our rights.
7125107329883737387," health, education, and labor","with our right to access contraception under attack by a radical supreme court, i was proud to stand with house democratic women to protect access to birth control and emergency contraception. women deserve the right to make decisions about their own future!"
7126613233829580078, other,get your ballots in by 8 pm on august 2nd!
7127682781060025643, other,it’s official: we are full steam ahead to november!
7128221767608618286, culture,"happy birthday, president obama!"
7128544894469033258, other,"excited to host my sisters ayanna pressley, rashida tlaib and cori bush in minnesota this weekend to get out the vote ahead of the primary this tuesday"
7130371921945840938," health, education, and labor","president biden signed theinto law today, finally guaranteeing health care to veterans exposed to toxic burn pits. "
7130631393570229547," health, education, and labor","since the beginning of, community health centers like borinquen medical center have played a pivotal role in our communities. from helping our children get immunized before they return to school to connecting neighbors with the care they deserve—community health centers deliver!"
7132175480077208875," economy, commerce, and transportation",we need greater oversight of taxpayer dollars.
7132485337376410922," health, education, and labor","as social security turns 87, we’re working to protect it into the future.to my gop colleagues: don’t you dare mess with my social security!"
7134385630624206126," defense, law, and crime",it's the 21st century. it shouldn't take two weeks sifting through paper records to trace a gun used in a crime. i've got a bill to fix this.
7134789368753114414, other,join the journey!
7135081299458510126, other,"together, we’re marching forward to election day!!"
7137779735249128750," economy, commerce, and transportation",the inflation reduction act will make our economy more globally competitive.
7140749609948728618, civil rights,overturningoverturned your constitutional right to privacy — and that will limit your freedom in ways you may not even realize yet.
7144090325248658731, culture,"every year, the women of congress play softball against the women of the dc press to raise money to. this year, team congress finally won!"
7147376850044554539," economy, commerce, and transportation","you probably haven't even heard about the most powerful part of president biden'splan, but it can break the cycle of debt."
7148911192311106862," health, education, and labor",patty murray is a pro-choice champion! she won’t stop until women everywhere get to make their own health care decisions.
7158128355760508203, other,"i'm definitely not your typical candidate for congress. and right now, the only thing standing between joe kent and congress is me."
7158205206063287595," economy, commerce, and transportation",bigger corporate profits account for over half of the higher prices people are paying.
7158282948213558571, other,listen to!is in this fight for all of us — and we’re in this fight for her! ballots are out —now!
7159012031058709802," health, education, and labor",is 100% pro-choice. full stop. abortion is on the ballot this november.
7159719861613104430," defense, law, and crime",vote for patty and she’ll keep working to ban assault weapons and pass background checks.
7160388514847247662," defense, law, and crime",my shop’s been broken into 4 times this year. i like it when i call and the police show up. safe streets are a priority of mine.joe kent has a different priority. he wants to defund washington’s police departments and send our tax dollars elsewhere ⤵️
7162968339718065454, other,election day is this tuesday. go to iwillvote.com and make your plan to vote now.
7167117273864490282," economy, commerce, and transportation","hi 👋🏽 the problem it’s me. we flipped the minnesota senate, creating a democratic trifecta for the first time in nearly a decade.when minnesota republicans target me in ads all cycle and then lose the election for governor, attorney general, house, and senate. and we won more votes than any other house candidate in minnesota. true f*ck around and find out moment."
7168910267651312938," health, education, and labor",i sat down with chris evans to answer your questions about how we're making sure that our veterans get the health care they have earned and deserve.
7185347965127576874, other,long days of historic humiliation extended 🤣
7185571411845664046," defense, law, and crime",it’s a bad sign for your majority when the only consensus you can find is to adjourn. 😜
7208366944766938414," economy, commerce, and transportation","the federal reserve continues to raise interest rates, risking a recession & millions of jobs.this falls hardest on our most vulnerable. chairman powell should reverse course immediately."
7215640894286892331," civil rights, culture",today we’re launching the first-ever congressional equal rights amendment caucus to move the era forward because equality is overdue.
7216781318842043694," civil rights, economy, commerce, and transportation","our broken credit reporting system has perpetuated inequities, including for trans & nonbinary folks.this, i'm introducing a bill to make credit reporting more inclusive for trans folks who legally change their names."
